Date,HDFCBANK.NS,RELIANCE.NS,TCS.NS
2024-05-02,1511.6082763671875,1461.5894775390625,3808.148681640625
2024-05-03,1499.128662109375,1429.1495361328125,3788.532470703125
2024-05-06,1502.1376953125,1414.7235107421875,3865.07421875
2024-05-07,1485.8599853515625,1396.7344970703125,3922.147705078125
2024-05-08,1462.676513671875,1413.7518310546875,3920.176025390625
2024-05-09,1428.0,1389.409423828125,3903.6650390625
2024-05-10,1437.9000244140625,1402.6644287109375,3838.3115234375
2024-05-13,1455.25,1397.955322265625,3891.442138671875
2024-05-14,1460.949951171875,1415.271484375,3845.50732421875
2024-05-15,1438.5,1411.4844970703125,3825.004150390625
2024-05-16,1460.25,1420.5286865234375,3873.208984375
2024-05-17,1464.0999755859375,1430.84375,3806.83447265625
2024-05-21,1458.800048828125,1431.267333984375,3793.033447265625
2024-05-22,1459.199951171875,1455.7093505859375,3804.74951171875
2024-05-23,1492.5999755859375,1481.0234375,3865.76220703125
2024-05-24,1517.199951171875,1475.2430419921875,3822.124755859375
2024-05-27,1527.699951171875,1461.2904052734375,3819.6923828125
2024-05-28,1530.5,1451.2742919921875,3812.593017578125
2024-05-29,1508.300048828125,1435.901611328125,3776.60107421875
2024-05-30,1514.8499755859375,1420.0303955078125,3709.531494140625
2024-05-31,1531.550048828125,1425.5616455078125,3644.8447265625
2024-06-03,1572.199951171875,1505.21630859375,3676.517822265625
2024-06-04,1483.1500244140625,1392.5487060546875,3688.58154296875
2024-06-05,1551.800048828125,1415.9443359375,3719.807861328125
2024-06-06,1559.699951171875,1426.757568359375,3803.16064453125
2024-06-07,1573.3499755859375,1464.977783203125,3866.259033203125
2024-06-10,1561.300048828125,1466.4229736328125,3831.259521484375
2024-06-11,1564.800048828125,1451.747802734375,3824.70654296875
2024-06-12,1574.1500244140625,1458.375244140625,3804.401611328125
2024-06-13,1580.75,1460.2938232421875,3850.571044921875
2024-06-14,1596.9000244140625,1472.55224609375,3804.799072265625
2024-06-18,1607.800048828125,1476.0155029296875,3787.969482421875
2024-06-19,1657.8499755859375,1453.7161865234375,3774.664794921875
2024-06-20,1669.3499755859375,1468.7152099609375,3760.31787109375
2024-06-21,1665.75,1449.2811279296875,3783.650634765625
2024-06-24,1672.4000244140625,1436.59912109375,3789.65771484375
2024-06-25,1711.3499755859375,1449.2313232421875,3811.153564453125
2024-06-26,1701.5,1508.90380859375,3828.429931640625
2024-06-27,1696.1500244140625,1525.3729248046875,3906.1728515625
2024-06-28,1683.800048828125,1560.1051025390625,3876.38623046875
2024-07-01,1705.199951171875,1554.872802734375,3949.90966796875
2024-07-02,1730.5999755859375,1559.880859375,3988.830810546875
2024-07-03,1768.6500244140625,1547.1739501953125,3937.0517578125
2024-07-04,1727.1500244140625,1548.7685546875,3992.355712890625
2024-07-05,1648.0999755859375,1583.25146484375,3983.27099609375
2024-07-08,1635.3499755859375,1595.4849853515625,3964.802978515625
2024-07-09,1636.5,1584.8958740234375,3957.157958984375
2024-07-10,1626.0999755859375,1578.8663330078125,3881.350830078125
2024-07-11,1621.9000244140625,1575.303466796875,3895.79736328125
2024-07-12,1622.699951171875,1591.3240966796875,4154.19677734375
2024-07-15,1622.0999755859375,1591.8223876953125,4139.55224609375
2024-07-16,1619.75,1570.9183349609375,4148.736328125
2024-07-18,1614.800048828125,1581.30810546875,4284.86083984375
2024-07-19,1607.300048828125,1549.8897705078125,4281.7255859375
2024-07-22,1642.550048828125,1495.5989990234375,4266.748046875
2024-07-23,1618.4000244140625,1482.8671875,4281.67626953125
2024-07-24,1604.050048828125,1490.6407470703125,4285.55712890625
2024-07-25,1616.5999755859375,1487.3519287109375,4301.72900390625
2024-07-26,1618.1500244140625,1503.9207763671875,4366.76513671875
2024-07-29,1605.050048828125,1514.958251953125,4360.0478515625
2024-07-30,1615.550048828125,1508.03173828125,4344.37353515625
2024-07-31,1615.75,1500.3328857421875,4364.27734375
2024-08-01,1638.800048828125,1510.174560546875,4375.970703125
2024-08-02,1659.1500244140625,1494.25341796875,4262.46826171875
2024-08-05,1615.75,1442.4293212890625,4135.08349609375
2024-08-06,1601.199951171875,1451.125,4151.15673828125
2024-08-07,1623.5,1459.8701171875,4180.265625
2024-08-08,1642.699951171875,1444.223388671875,4152.49951171875
2024-08-09,1650.199951171875,1469.313232421875,4208.4296875
2024-08-12,1660.0999755859375,1455.6844482421875,4175.48876953125
2024-08-13,1603.199951171875,1458.67431640625,4176.78271484375
2024-08-14,1607.800048828125,1456.9052734375,4274.6103515625
2024-08-16,1632.0999755859375,1473.199951171875,4394.82958984375
2024-08-19,1631.550048828125,1488.4000244140625,4468.42431640625
2024-08-20,1637.699951171875,1495.949951171875,4501.564453125
2024-08-21,1625.800048828125,1498.675048828125,4529.62890625
2024-08-22,1631.300048828125,1498.125,4480.36669921875
2024-08-23,1625.050048828125,1499.9749755859375,4442.44970703125
2024-08-26,1639.949951171875,1512.5999755859375,4480.81494140625
2024-08-27,1637.75,1500.449951171875,4475.5400390625
2024-08-28,1637.0999755859375,1498.300048828125,4484.3974609375
2024-08-29,1638.550048828125,1520.925048828125,4490.11962890625
2024-08-30,1636.9000244140625,1509.625,4531.86767578125
2024-09-02,1626.949951171875,1516.25,4499.32470703125
2024-09-03,1637.3499755859375,1509.125,4490.6669921875
2024-09-04,1641.800048828125,1514.550048828125,4457.72607421875
2024-09-05,1645.449951171875,1492.9749755859375,4454.44189453125
2024-09-06,1636.949951171875,1464.824951171875,4435.33447265625
2024-09-09,1646.5,1462.449951171875,4428.1689453125
2024-09-10,1650.3499755859375,1461.5250244140625,4486.18896484375
